,Gene name,mito,ORF,value,R value,P value,BH
402,ATP10,mito,YLR393W,9.525161920817203e-05,0.06609159167199645,0.6625491096441483,1.0292609379890925
403,MRPL37,mito,YBR268W,9.513292580553886e-05,-0.1135195858518071,0.4797588469226002,0.8934251328479677
404,PET117,mito,YER058W,9.501285063684155e-05,0.020974184948385086,0.9019364569637485,1.177112262093501
405,MSP1,mito,YGR028W,9.461871356360861e-05,0.08812439481363107,0.5514353949379648,0.948407870599869
406,PAM17,mito,YKR065C,9.459743510094062e-05,-0.028885700187778664,0.8421625537602785,1.1431617121889868
407,ZRC1,mito,YMR243C,9.445265157670768e-05,-0.17390390613406737,0.2423814384620503,0.6902119230143314
408,MGR3,mito,YMR115W,9.422497026142083e-05,-0.06405731907912013,0.6688191133637714,1.0315045626625021
409,FMN1,mito,YDR236C,9.367196171454686e-05,-0.08440637697173493,0.5726947820357184,0.9617560297383536
410,LCB1,mito,YMR296C,9.319785240687368e-05,-0.2828202185323465,0.046580466021405684,0.3343235966279275
411,MRP20,mito,YDR405W,9.279980663165576e-05,0.002989444503263735,0.9835615966067778,1.2243059728462893
412,JSN1,mito,YJR091C,9.258817907565243e-05,-0.07403306268095183,0.6131741093606287,0.9924540719419545
413,MIC12,mito,YBR262C,9.25765144220202e-05,0.05649922912988317,0.7028880076553575,1.0538697878918555
414,SYH1,mito,YPL105C,9.218484642388462e-05,-0.19403303644239506,0.18158045225675506,0.6052681741891835
415,OMA1,mito,YKR087C,9.053368404938163e-05,-0.009976234284556212,0.9487541835171713,1.2057745476137962
416,PIC2,core,YER053C,9.04481553039295e-05,0.1134960026936525,0.4374677577188516,0.8603448714194782
417,MRPL38,mito,YKL170W,9.037936919429606e-05,0.32059428007518737,0.026310628045577503,0.24720425251614025
418,MIC27,mito,YNL100W,9.020779005922164e-05,0.2295826750657534,0.108749535272351,0.49163702661128933
419,PGC1,mito,YPL206C,9.00520089868955e-05,-0.10170181770132507,0.4963621809904012,0.9060894897182664
420,MST1,mito,YKL194C,8.940023284821001e-05,-0.13549676499567098,0.3638237470795649,0.791524945936458
421,NCA2,mito,YPR155C,8.932690876440741e-05,0.07240327293930827,0.6286404504374774,1.005824720699964
